ref,value,lib_sym,footprint,sheet
#FLG01,PWR_FLAG,power:PWR_FLAG,,connectors
#FLG_SD01,PWR_FLAG,power:PWR_FLAG,,support_io
#FLG_V01,PWR_FLAG,power:PWR_FLAG,,power
#FLG_V02,PWR_FLAG,power:PWR_FLAG,,power
#PWR000A01,GND,power:GND,,support_io
#PWR000D01,GND,power:GND,,support_io
#PWR01,GND,power:GND,,power
#PWR010,GND,power:GND,,power
#PWR0101,GND,power:GND,,support_io
#PWR0102,GND,power:GND,,support_io
#PWR0103,GND,power:GND,,support_io
#PWR011,GND,power:GND,,power
#PWR012,GND,power:GND,,power
#PWR013,GND,power:GND,,power
#PWR014,GND,power:GND,,power
#PWR015,GND,power:GND,,power
#PWR016,GND,power:GND,,power
#PWR017,GND,power:GND,,power
#PWR018,GND,power:GND,,power
#PWR019,GND,power:GND,,power
#PWR02,GND,power:GND,,power
#PWR020,GND,power:GND,,power
#PWR021,GND,power:GND,,power
#PWR022,GND,power:GND,,power
#PWR023,GND,power:GND,,power
#PWR024,GND,power:GND,,power
#PWR025,GND,power:GND,,power
#PWR026,GND,power:GND,,power
#PWR027,GND,power:GND,,power
#PWR028,GND,power:GND,,power
#PWR029,GND,power:GND,,power
#PWR03,GND,power:GND,,power
#PWR041,GND,power:GND,,power
#PWR042,GND,power:GND,,power
#PWR043,GND,power:GND,,power
#PWR044,GND,power:GND,,power
#PWR045,GND,power:GND,,power
#PWR046,GND,power:GND,,power
#PWR047,GND,power:GND,,power
#PWR048,GND,power:GND,,power
#PWR049,GND,power:GND,,power
#PWR05,GND,power:GND,,power
#PWR050,GND,power:GND,,power
#PWR051,GND,power:GND,,power
#PWR052,GND,power:GND,,power
#PWR053,GND,power:GND,,power
#PWR054,GND,power:GND,,power
#PWR055,GND,power:GND,,power
#PWR056,GND,power:GND,,power
#PWR057,GND,power:GND,,power
#PWR058,GND,power:GND,,power
#PWR059,GND,power:GND,,power
#PWR06,GND,power:GND,,power
#PWR060,GND,power:GND,,power
#PWR061,GND,power:GND,,power
#PWR062,GND,power:GND,,power
#PWR063,GND,power:GND,,power
#PWR064,GND,power:GND,,power
#PWR065,GND,power:GND,,power
#PWR066,GND,power:GND,,power
#PWR067,GND,power:GND,,power
#PWR068,GND,power:GND,,power
#PWR069,GND,power:GND,,power
#PWR07,GND,power:GND,,power
#PWR070,GND,power:GND,,power
#PWR071,GND,power:GND,,power
#PWR072,GND,power:GND,,power
#PWR073,GND,power:GND,,power
#PWR074,GND,power:GND,,power
#PWR075,GND,power:GND,,power
#PWR076,GND,power:GND,,power
#PWR077,GND,power:GND,,power
#PWR078,GND,power:GND,,power
#PWR079,GND,power:GND,,power
#PWR08,GND,power:GND,,power
#PWR080,GND,power:GND,,power
#PWR081,GND,power:GND,,power
#PWR082,GND,power:GND,,power
#PWR083,GND,power:GND,,power
#PWR084,GND,power:GND,,power
#PWR085,GND,power:GND,,power
#PWR086,GND,power:GND,,power
#PWR087,GND,power:GND,,power
#PWR09,GND,power:GND,,power
#PWRFB01,GND,power:GND,,power
#PWRFB02,GND,power:GND,,power
#PWRFB03,GND,power:GND,,power
#PWRFB04,GND,power:GND,,power
#PWRFB05,GND,power:GND,,power
#PWRFB06,GND,power:GND,,power
#PWRFB07,GND,power:GND,,power
#PWRFB08,GND,power:GND,,power
#PWRFB09,GND,power:GND,,power
#PWR_SD01,+3V3,power:+3V3,,support_io
#PWR_SD02,GND,power:GND,,support_io
#PWR_SD03,GND,power:GND,,support_io
B1,TPS54320,UZEV_Connectors:Buck_ENPG,UZEV_Connectors:VQFN-14-1EP_3.5x3.5mm_P0.5mm_EP2.05x2.05mm,power
B2,TPS54320,UZEV_Connectors:Buck_ENPG,UZEV_Connectors:VQFN-14-1EP_3.5x3.5mm_P0.5mm_EP2.05x2.05mm,power
B3,TPS54320,UZEV_Connectors:Buck_ENPG,UZEV_Connectors:VQFN-14-1EP_3.5x3.5mm_P0.5mm_EP2.05x2.05mm,power
B4,TPS54320,UZEV_Connectors:Buck_ENPG,UZEV_Connectors:VQFN-14-1EP_3.5x3.5mm_P0.5mm_EP2.05x2.05mm,power
B5,TPS54531,UZEV_Connectors:Buck_ENPG,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm,power
C1,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C2,47uF,Device:C,Capacitor_SMD:C_1210_3225Metric,power
C3,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric,power
C4,33uF,Device:C,Capacitor_SMD:C_1210_3225Metric,power
C5,33uF,Device:C,Capacitor_SMD:C_1210_3225Metric,power
C6,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C7,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C8,47uF,Device:C,Capacitor_SMD:C_1210_3225Metric,power
C9,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric,power
C10,4.7uF,Device:C,Capacitor_SMD:C_0805_2012Metric,power
C11,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C12,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C13,47uF,Device:C,Capacitor_SMD:C_1210_3225Metric,power
C14,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric,power
C15,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C16,47uF,Device:C,Capacitor_SMD:C_1210_3225Metric,power
C17,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C18,47uF,Device:C,Capacitor_SMD:C_1210_3225Metric,power
C19,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric,power
C21,100nF,Device:C,Capacitor_SMD:C_0201_0603Metric,adrv9009_signals
C22,100nF,Device:C,Capacitor_SMD:C_0201_0603Metric,adrv9009_signals
C23,100nF,Device:C,Capacitor_SMD:C_0201_0603Metric,adrv9009_signals
C24,100nF,Device:C,Capacitor_SMD:C_0201_0603Metric,adrv9009_signals
C25,100nF,Device:C,Capacitor_SMD:C_0201_0603Metric,adrv9009_signals
C26,100nF,Device:C,Capacitor_SMD:C_0201_0603Metric,adrv9009_signals
C27,100nF,Device:C,Capacitor_SMD:C_0201_0603Metric,adrv9009_signals
C28,100nF,Device:C,Capacitor_SMD:C_0201_0603Metric,adrv9009_signals
C29,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,support_io
C40,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C41,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C42,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C43,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C44,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C45,15nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C46,15nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C47,15nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C48,15nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C49,2200pF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C50,330pF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C51,330pF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C52,330pF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C53,330pF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C54,22pF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C55,10nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C56,10nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C57,10nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C58,10nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C59,10nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C60,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric,power
C61,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C62,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric,power
C63,330pF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C64,330pF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C65,47uF,Device:C,Capacitor_SMD:C_1210_3225Metric,power
C66,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
C67,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,power
D1,GREEN,Device:LED,LED_SMD:LED_0603_1608Metric,support_io
D2,CDBC540-G,Device:D,Diode_SMD:D_SOD-123,power
IND1,4.7uH,Device:L,Inductor_SMD:L_1210_3225Metric,power
IND2,4.7uH,Device:L,Inductor_SMD:L_1210_3225Metric,power
IND3,4.7uH,Device:L,Inductor_SMD:L_1210_3225Metric,power
IND4,4.7uH,Device:L,Inductor_SMD:L_1210_3225Metric,power
IND5,4.7uH,Device:L,Inductor_SMD:L_1210_3225Metric,power
J1,JX1,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_JX1,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_200P,connectors
J1,JX1,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_JX1,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_200P,connectors
J1,JX1,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_JX1,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_200P,connectors
J1,JX1,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_JX1,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_200P,connectors
J2,JX2,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_JX2,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_200P,connectors
J2,JX2,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_JX2,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_200P,connectors
J2,JX2,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_JX2,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_200P,connectors
J2,JX2,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_JX2,UZEV_Connectors:SEAF-40-05.0-S-10-2-A-K-TR_200P,connectors
J3,JX3,UZEV_Connectors:SEAF-30-05.0-S-10-2-A-K-TR_JX3,UZEV_Connectors:SEAF-30-05.0-S-10-2-A-K-TR_120P,connectors
J3,JX3,UZEV_Connectors:SEAF-30-05.0-S-10-2-A-K-TR_JX3,UZEV_Connectors:SEAF-30-05.0-S-10-2-A-K-TR_120P,connectors
J3,JX3,UZEV_Connectors:SEAF-30-05.0-S-10-2-A-K-TR_JX3,UZEV_Connectors:SEAF-30-05.0-S-10-2-A-K-TR_120P,connectors
J3,JX3,UZEV_Connectors:SEAF-30-05.0-S-10-2-A-K-TR_JX3,UZEV_Connectors:SEAF-30-05.0-S-10-2-A-K-TR_120P,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J4,FMC_HPC_ADRV9009,UZEV_Connectors:FMC_HPC_ADRV9009,Connector_Samtec:Samtec_FMC_ASP-134602-01_10x40_P1.27mm_Vertical,connectors
J5,USB_C_Receptacle,UZEV_Connectors:USB_C_Receptacle,,power
J6,UART_HDR,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,support_io
J7,JTAG_HDR,Connector:Conn_01x06_Male,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,support_io
J8,MICRO_SD_DNP,Connector:Micro_SD_Card_Det,Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5,support_io
L1,TPS7A85,UZEV_Connectors:LDO_ENPG,Package_DFN_QFN:QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,power
L2,TPS7A85,UZEV_Connectors:LDO_ENPG,Package_DFN_QFN:QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,power
L3,TPS7A85,UZEV_Connectors:LDO_ENPG,Package_DFN_QFN:QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,power
L4,TPS7A85,UZEV_Connectors:LDO_ENPG,Package_DFN_QFN:QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,power
R1,2.2k,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R2,2.2k,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R3,10k,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R4,0R_DNP,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R5,0R_DNP,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R6,0R_DNP,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R7,0R_DNP,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R8,0R_DNP,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R9,0R_DNP,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R10,10k,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R11,1k,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R12,10k,Device:R,Resistor_SMD:R_0402_1005Metric,support_io
R13,88.7k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R14,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R15,124k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R16,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R17,215k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R18,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R19,215k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R20,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R21,316k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R22,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R23,12.4k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R24,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R25,49.9k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R26,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R27,124k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R28,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R29,124k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R30,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R31,1.78k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R32,1.78k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R33,1.78k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R34,1.78k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R35,37.4k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R36,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R37,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R38,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R39,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R40,91k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R41,11k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R42,82k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R43,20k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R44,100k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R45,4.7k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R46,10k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R47,10k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R48,10k,Device:R,Resistor_SMD:R_0402_1005Metric,power
R49,10k,Device:R,Resistor_SMD:R_0402_1005Metric,power
SW1,RESET,Switch:SW_Push,Button_Switch_SMD:SW_SPST_CK_RS282G05A3,support_io
U6,TPS25730D,UZEV_Connectors:TPS25730D,,power
U7,TPS7A1633,UZEV_Connectors:TPS7A1633,,power
